Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position,Year
Robert Woodard,2,40,Mississippi State,https://basketball.realgm.com/player/Robert-Woodard-II/Summary/81706,College,31.0,31.0,33.0,11.35,4.39,8.87,0.495,0.97,2.26,0.429,1.61,2.52,0.6409999999999999,2.19,4.35,6.55,1.29,1.13,1.03,1.87,1.87,G,2020
Tre Jones,2,41,Duke,https://basketball.realgm.com/player/Tre-Jones/Summary/92235,College,29.0,29.0,35.4,16.24,5.59,13.21,0.423,1.34,3.72,0.361,3.72,4.83,0.7709999999999999,0.66,3.59,4.24,6.38,1.79,0.34,2.69,1.76,PG,2020
Nick Richards,2,42,Kentucky,https://basketball.realgm.com/player/Nick-Richards/Summary/88857,College,31.0,30.0,29.7,14.03,5.26,8.19,0.642,0.0,0.0,0.0,3.52,4.68,0.752,2.61,5.16,7.77,0.23,0.1,2.13,1.58,3.16,C,2020
Jahmi’us Ramsey,2,43,Texas Tech,https://basketball.realgm.com/player/Jahmius-Ramsey/Summary/120272,College,27.0,27.0,31.1,15.04,5.48,12.41,0.442,2.22,5.22,0.426,1.85,2.89,0.6409999999999999,0.74,3.26,4.0,2.22,1.33,0.67,2.0,2.19,PG,2020
Marko Simonovic,2,44,KK Mega Bemax (Serbia),https://basketball.realgm.com/player/Marko-Simonovic/Summary/95242,Overseas,24.0,22.0,29.7,16.79,5.88,11.54,0.509,0.79,2.54,0.311,4.25,5.29,0.8029999999999999,3.5,4.54,8.04,1.21,1.08,1.21,2.25,3.83,C,2020
Jordan Nwora,2,45,Louisville,https://basketball.realgm.com/player/Jordan-Nwora/Summary/76982,College,31.0,30.0,33.2,18.0,6.1,13.87,0.44,2.45,6.1,0.402,3.35,4.13,0.813,1.68,6.03,7.71,1.29,0.74,0.26,2.1,2.23,F,2020
CJ Elleby,2,46,Washington State,https://basketball.realgm.com/player/CJ-Elleby/Summary/132313,College,32.0,32.0,33.4,18.41,6.16,15.56,0.396,2.31,6.81,0.339,3.78,4.59,0.823,1.22,6.62,7.84,1.88,1.75,0.81,2.16,2.94,SF,2020
Yam Madar,2,47,Hapoel Tel Aviv (Israel),https://basketball.realgm.com/player/Yam-Madar/Summary/133147,Overseas,32.0,17.0,24.4,10.06,3.59,8.09,0.444,0.72,2.69,0.267,2.16,2.66,0.812,0.59,1.81,2.41,3.38,1.0,0.19,2.06,2.12,G,2020
Nico Mannion,2,48,Arizona,https://basketball.realgm.com/player/Nico-Mannion/Summary/117373,College,32.0,32.0,32.3,13.97,4.5,11.47,0.392,1.66,5.06,0.327,3.31,4.16,0.797,0.25,2.25,2.5,5.28,1.19,0.0,2.56,1.72,PG,2020
Isaiah Joe,2,49,Arkansas,https://basketball.realgm.com/player/Isaiah-Joe/Summary/132164,College,26.0,25.0,36.0,16.88,5.08,13.85,0.3670000000000001,3.62,10.58,0.342,3.12,3.5,0.89,0.54,3.58,4.12,1.73,1.38,0.27,1.73,1.85,SG,2020
