DraftNumber,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
48,College,34.0,34.0,27.0,9.68,3.88,6.65,0.584,0.41,1.21,0.341,1.5,2.18,0.6890000000000001,1.74,3.15,4.88,1.85,1.0,0.35,1.71,2.26,G
49,College,32.0,32.0,34.1,14.16,5.03,11.31,0.445,1.34,3.81,0.35200000000000004,2.75,4.03,0.682,2.22,6.12,8.34,3.31,0.75,0.91,1.88,2.0,SF
50,Overseas,25.0,23.0,27.0,12.24,4.28,9.72,0.44,1.2,2.72,0.441,2.48,2.88,0.861,0.6,2.92,3.52,2.6,0.76,0.04,2.64,2.2,SG
51,College,29.0,29.0,31.9,13.55,4.97,11.07,0.449,1.48,3.45,0.43,2.14,3.1,0.6890000000000001,2.34,5.17,7.52,1.93,0.79,0.48,1.83,2.1,GF
52,Overseas,27.0,15.0,22.1,11.56,4.85,7.96,0.609,0.0,0.11,0.0,1.85,2.63,0.7040000000000001,2.7,3.52,6.22,1.04,0.48,1.22,1.67,3.07,PF
53,College,33.0,6.0,25.8,8.55,3.0,6.48,0.46299999999999997,0.76,2.52,0.301,1.79,2.45,0.728,1.09,3.67,4.76,4.33,0.97,0.36,2.88,1.24,F
54,Overseas,40.0,1.0,10.4,2.08,0.9,2.38,0.379,0.0,0.15,0.0,0.28,0.45,0.611,0.8,1.0,1.8,0.17,0.33,0.55,0.5,1.45,C
55,Overseas,46.0,29.0,25.8,10.5,3.7,8.22,0.45,1.0,3.07,0.326,2.11,2.89,0.7290000000000001,1.13,3.91,5.04,2.15,0.78,0.8,1.93,2.43,GF
56,Overseas,27.0,6.0,22.0,7.81,2.96,7.11,0.41700000000000004,0.63,2.52,0.25,1.26,1.85,0.68,1.41,3.96,5.37,2.33,0.85,0.67,1.56,0.89,F
57,College,33.0,33.0,28.1,14.64,4.85,10.52,0.461,1.09,3.15,0.34600000000000003,3.85,4.91,0.784,2.06,7.33,9.39,1.24,0.73,0.67,2.3,2.52,F
58,Overseas,25.0,19.0,27.4,13.92,4.68,12.12,0.386,1.92,6.24,0.308,2.64,3.32,0.795,0.52,3.44,3.96,2.28,0.6,0.04,1.8,2.72,G
